,# unix_time,cycles_done,cur_path,paths_total,pending_total,pending_favs,map_size,unique_crashes,unique_hangs,max_depth,execs_per_sec,valid_inputs,invalid_inputs,valid_cov,all_covered_probes,valid_covered_probes,total_inputs,algorithm
0,1,0.0,0.0,2.0,0.0,0.0,5660.55,0.0,0.0,0.0,2.83,2.0,0.0,5660.55,14491.0,14491.0,1.0,ei-fast
1,2,0.0,0.0,10.0,0.0,0.0,5955.86,0.0,0.0,0.0,10.67,9.0,3.0,5779.69,15247.0,14796.0,11.0,ei-fast
2,4,0.0,0.0,25.0,0.0,0.0,6973.05,0.0,0.0,0.0,9.49,22.0,8.0,6314.45,17851.0,16165.0,29.0,ei-fast
3,8,0.0,0.0,45.0,0.0,0.0,7375.39,0.0,0.0,0.0,14.08,79.0,17.0,6752.34,18881.0,17286.0,95.0,ei-fast
4,16,0.0,0.0,64.0,0.0,0.0,7867.97,1.0,0.0,0.0,18.13,205.0,54.0,7279.3,20142.0,18635.0,258.0,ei-fast
5,32,0.0,1.0,108.0,0.0,0.0,9080.86,1.0,0.0,0.0,34.27,526.0,148.0,8635.94,23247.0,22108.0,673.0,ei-fast
6,64,0.0,4.0,170.0,0.0,0.0,9476.56,1.0,0.0,0.0,43.89,1236.0,370.0,9025.39,24260.0,23105.0,1605.0,ei-fast
7,128,0.0,16.0,276.0,0.0,0.0,9941.41,4.0,0.0,0.0,46.2,3596.0,1326.0,9507.03,25450.0,24338.0,4921.0,ei-fast
8,256,0.0,51.0,491.0,0.0,0.0,10490.23,16.0,0.0,0.0,102.99,8820.0,3657.0,10040.23,26855.0,25703.0,12476.0,ei-fast
9,512,0.0,155.0,919.0,0.0,0.0,11300.39,42.0,0.0,0.0,30.49,17448.0,9764.0,10778.52,28929.0,27593.0,27211.0,ei-fast
10,1512,0.0,503.0,1419.0,0.0,0.0,11711.72,181.0,0.0,0.0,35.61,43968.0,28309.0,11158.2,29982.0,28565.0,72276.0,ei-fast
11,2512,0.0,817.0,1672.0,0.0,0.0,11959.38,304.0,0.0,0.0,9.77,68493.0,45077.0,11346.48,30616.0,29047.0,113569.0,ei-fast
12,3512,0.0,1188.0,1856.0,0.0,0.0,12705.08,471.0,0.0,0.0,53.16,90018.0,61511.0,12078.52,32525.0,30921.0,151528.0,ei-fast
13,4512,0.0,1594.0,2025.0,0.0,0.0,13050.39,611.0,0.0,0.0,89.7,110073.0,76958.0,12417.97,33409.0,31790.0,187030.0,ei-fast
